id,campania,created,updated,estado,idbase,dbsize,id_tipo
1,Oceanos,"2018-03-20 23:02:50","2018-07-13 17:39:01",0,NULL,120,2
2,Antartica,"2018-03-20 23:02:50","2018-07-13 17:21:55",0,NULL,4200,2
3,"Antartica 2","2018-04-18 10:04:02","2018-07-13 17:21:55",0,NULL,3705,2
4,"Antartica 3","2018-04-18 10:04:10","2018-07-13 17:21:55",0,NULL,2512,2
5,"Antartica 4","2018-04-18 10:04:20","2018-07-13 17:21:55",0,NULL,3000,2
6,"Plasticos 2","2018-04-18 10:04:34","2018-07-13 17:21:55",0,NULL,1457,2
7,"SNL Frio","2018-04-18 10:04:44","2020-12-18 08:39:42",0,NULL,5959,1
8,"SNL Transferencia","2018-04-18 10:04:54","2020-11-03 13:00:50",0,NULL,500,1
9,Apptivista,"2018-04-19 12:40:44","2019-08-30 12:46:08",0,NULL,22,2
10,"Web Interno","2018-04-19 12:40:53","2020-11-03 13:00:44",0,NULL,3000,2
11,"Reactivacion 6 meses","2018-04-19 12:41:07","2018-07-13 17:21:55",0,NULL,687,2
12,Reactivacion_Bienvenida,"2018-04-20 10:35:50","2018-07-13 17:21:55",0,NULL,1379,2
13,"Antartica 5","2018-04-30 14:15:19","2018-07-13 17:21:55",0,NULL,1938,2
14,"Antartica 6","2018-05-01 13:09:18","2018-07-13 17:21:55",0,NULL,918,2
15,"React - Rechazo Banco","2018-05-07 13:06:00","2018-07-13 17:21:55",0,NULL,512,2
16,"Plasticos 3","2018-05-10 17:12:38","2018-12-12 14:04:10",0,NULL,1309,2
17,"React - Cancelo en Banco","2018-05-11 17:56:47","2018-07-13 17:21:55",0,NULL,20,2
18,"Bienvenida 2","2018-05-16 10:11:43","2018-07-13 17:21:55",0,NULL,323,2
19,"React - Rechazo Banco 2","2018-05-24 13:10:49","2018-07-13 17:21:55",0,NULL,865,2
20,"React 6 Meses Sin Donar 2","2018-05-24 13:11:43","2018-07-13 17:21:55",0,NULL,524,2
21,"React - Rechazo Banco 3","2018-06-13 12:56:28","2018-09-17 10:41:26",0,NULL,398,2
22,"React 6 Meses Sin Donar 3","2018-06-13 13:03:14","2018-08-09 11:54:17",0,NULL,220,2
23,"Bienvenida 3","2018-06-14 02:41:23","2018-09-17 10:41:21",0,NULL,121,2
24,"Hagamos Eco","2018-06-21 11:49:45","2018-09-17 10:41:39",0,NULL,500,2
25,"Antartica 10","2018-07-05 14:18:25","2018-09-10 13:16:47",0,NULL,1407,2
26,"Sprite 4","2018-07-09 13:10:02","2018-10-19 18:01:31",0,NULL,267,2
27,"React - 6 Meses Sin Donar 4","2018-07-13 15:44:58","2018-08-25 17:50:54",0,NULL,126,2
28,"Bienvenida 4","2018-07-13 15:48:47","2018-09-17 10:41:14",0,NULL,25,2
29,Entrante,"2018-07-17 16:17:04","2020-11-03 13:00:39",0,NULL,150,1
30,"Antartica 8","2018-07-24 16:21:11","2018-09-17 10:41:58",0,NULL,2084,2
31,"Antartica 9","2018-08-10 16:45:59","2018-09-17 10:42:03",0,NULL,389,2
32,"SNL Frio mandatos Santiago","2018-08-20 09:47:43","2019-03-04 17:52:12",0,NULL,701,1
33,"React - 6 Meses Sin Donar","2018-08-25 17:56:38","2019-01-05 13:12:54",0,NULL,159,2
34,"Oceanos Guardianes","2018-08-25 18:09:23","2018-12-12 14:03:56",0,NULL,355,2
35,"Antartica 10a","2018-09-10 13:17:18","2018-10-19 18:01:22",0,NULL,275,2
36,"Orcas 1","2018-09-17 10:42:18","2018-10-10 11:14:08",0,NULL,129,2
37,"Antartica 11","2018-09-17 10:43:47","2018-12-12 14:03:39",0,NULL,239,2
